author_id,display_name,works_api_url,h_index,works_count,cited_by_count,country_code
A5047198701,Alexander J. Gates,https://api.openalex.org/works?filter=author.id:A5047198701,12,36,951,US
A5009420670,Andréia Teixeira,https://api.openalex.org/works?filter=author.id:A5009420670,19,131,1360,PT
A5091783761,Anna Sapienza,https://api.openalex.org/works?filter=author.id:A5091783761,11,39,321,DK
A5048877432,Bruno Lepri,https://api.openalex.org/works?filter=author.id:A5048877432,39,312,5331,IT
A5013545446,Clara Vandeweerdt,https://api.openalex.org/works?filter=author.id:A5013545446,3,5,52,DK
A5060256587,Claudia Acciai,https://api.openalex.org/works?filter=author.id:A5060256587,3,14,71,DK
A5048056611,Clemens Stachl,https://api.openalex.org/works?filter=author.id:A5048056611,14,72,742,CH
A5020744129,Daniela Paolotti,https://api.openalex.org/works?filter=author.id:A5020744129,23,136,1759,US
A5037267743,Claudia Wagner-Riddle,https://api.openalex.org/works?filter=author.id:A5037267743,37,113,4246,CA
A5081008532,Daniele Quercia,https://api.openalex.org/works?filter=author.id:A5081008532,36,244,4566,GB
A5012278873,Li Wang,https://api.openalex.org/works?filter=author.id:A5012278873,207,37892,472587,CN
A5048222625,William Lee,https://api.openalex.org/works?filter=author.id:A5048222625,82,1258,65220,GB
A5002901620,Elisa Omodei,https://api.openalex.org/works?filter=author.id:A5002901620,8,42,566,AT
A5038390320,Frauke Kreuter,https://api.openalex.org/works?filter=author.id:A5038390320,36,299,5181,US
A5033656008,Ingmar Weber,https://api.openalex.org/works?filter=author.id:A5033656008,39,272,6653,DE
A5067130509,Иван Смирнов,https://api.openalex.org/works?filter=author.id:A5067130509,43,215,9286,RU
A5031780796,Jonas L. Juul,https://api.openalex.org/works?filter=author.id:A5031780796,5,23,113,US
A5065665426,Kelton Minor,https://api.openalex.org/works?filter=author.id:A5065665426,8,27,1327,US
A5079154791,Kokil Jaidka,https://api.openalex.org/works?filter=author.id:A5079154791,18,130,939,SG
A5031039880,Kristina Gligorić,https://api.openalex.org/works?filter=author.id:A5031039880,6,40,301,US
A5039448366,Kyriaki Kalimeri,https://api.openalex.org/works?filter=author.id:A5039448366,17,76,737,IT
A5029805143,Leo Ferres,https://api.openalex.org/works?filter=author.id:A5029805143,14,77,692,MX
A5080649498,Lisette Espín Noboa,https://api.openalex.org/works?filter=author.id:A5080649498,3,3,49,DE
A5016589479,Luca Rossi,https://api.openalex.org/works?filter=author.id:A5016589479,26,237,5705,IT
A5032539868,Mathieu Génois,https://api.openalex.org/works?filter=author.id:A5032539868,11,37,745,FR
A5018392096,Matteo Magnani,https://api.openalex.org/works?filter=author.id:A5018392096,26,185,2249,SE
A5070753993,Maximilian Schich,https://api.openalex.org/works?filter=author.id:A5070753993,5,36,332,EE
A5054586972,Michael Szell,https://api.openalex.org/works?filter=author.id:A5054586972,21,65,2960,IT
A5036998377,Michele Coscia,https://api.openalex.org/works?filter=author.id:A5036998377,19,97,2192,DK
A5016371653,Michele Starnini,https://api.openalex.org/works?filter=author.id:A5016371653,19,88,2031,IT
A5059787882,Michele Tizzoni,https://api.openalex.org/works?filter=author.id:A5059787882,26,100,3302,IT
A5002020728,Mikko Kivelä,https://api.openalex.org/works?filter=author.id:A5002020728,19,93,5434,FI
A5069791094,Milena Tsvetkova,https://api.openalex.org/works?filter=author.id:A5069791094,10,127,474,GB
A5031461158,Onur Varol,https://api.openalex.org/works?filter=author.id:A5031461158,25,82,4933,TR
A5080193434,Pantelis P. Analytis,https://api.openalex.org/works?filter=author.id:A5080193434,5,45,307,DK
A5079517520,Petter Holme,https://api.openalex.org/works?filter=author.id:A5079517520,49,257,13346,JP
A5033574079,Piotr Sapieżyński,https://api.openalex.org/works?filter=author.id:A5033574079,17,56,1741,US
A5091533231,Riccardo Di Clemente,https://api.openalex.org/works?filter=author.id:A5091533231,13,51,641,GB
A5023447406,Roberta Rocca,https://api.openalex.org/works?filter=author.id:A5023447406,18,60,837,IT
A5036258938,Rossano Schifanella,https://api.openalex.org/works?filter=author.id:A5036258938,21,121,1965,IT
A5017049988,S. Nagy,https://api.openalex.org/works?filter=author.id:A5017049988,15,128,1148,HU
A5064437896,Sandra González‐Bailón,https://api.openalex.org/works?filter=author.id:A5064437896,24,104,2718,US
