author_id,display_name,works_api_url,h_index,works_count,cited_by_count,country_code
A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,43,201,22687,US
A5047404909,Aaron J. Schwartz,https://api.openalex.org/works?filter=author.id:A5047404909,8,23,711,US
A5053043999,Aaron J. Schein,https://api.openalex.org/works?filter=author.id:A5053043999,16,18,775,US
A5014825255,Sayed Haidar Abbas Raza,https://api.openalex.org/works?filter=author.id:A5014825255,22,169,1605,CN
A5000055465,Alvin W. Smith,https://api.openalex.org/works?filter=author.id:A5000055465,25,92,2113,US
A5086636153,Abdulkadir Çelikkanat,https://api.openalex.org/works?filter=author.id:A5086636153,3,32,22,DK
A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,10,47,523,US
A5063098095,Abeer ElBahrawy,https://api.openalex.org/works?filter=author.id:A5063098095,6,17,374,GB
A5081180913,Adam Finnemann,https://api.openalex.org/works?filter=author.id:A5081180913,3,7,33,NL
A5011035455,Adam Frank,https://api.openalex.org/works?filter=author.id:A5011035455,51,555,8124,US
A5034438905,Matt Sutton,https://api.openalex.org/works?filter=author.id:A5034438905,42,246,7102,GB
A5015514276,Arpan Dutta,https://api.openalex.org/works?filter=author.id:A5015514276,9,49,255,US
A5015319043,Adriënne M. Mendrik,https://api.openalex.org/works?filter=author.id:A5015319043,12,38,1506,NL
A5086011172,Agnieszka Czaplicka,https://api.openalex.org/works?filter=author.id:A5086011172,6,17,126,DE
A5037220308,Agnieszka Faleńska,https://api.openalex.org/works?filter=author.id:A5037220308,7,24,108,DE
A5031686630,Aguru ISHIBASHI,https://api.openalex.org/works?filter=author.id:A5031686630,0,1,0,JP
A5035102250,Ahmad Hesam,https://api.openalex.org/works?filter=author.id:A5035102250,10,27,668,NL
A5011368152,Aidan Combs,https://api.openalex.org/works?filter=author.id:A5011368152,3,7,117,US
A5030239300,Aidar Zinnatullin,https://api.openalex.org/works?filter=author.id:A5030239300,0,6,0,IT
A5068083728,Akeela Careem,https://api.openalex.org/works?filter=author.id:A5068083728,2,6,4,US
A5075314395,Akhil Arora,https://api.openalex.org/works?filter=author.id:A5075314395,12,58,585,US
A5070799203,Akira Hashimoto,https://api.openalex.org/works?filter=author.id:A5070799203,23,214,2615,JP
A5082554858,Akira Matsui,https://api.openalex.org/works?filter=author.id:A5082554858,50,644,9405,JP
A5055633336,Akira Tsurushima,https://api.openalex.org/works?filter=author.id:A5055633336,5,22,105,JP
A5055236010,Akrati Saxena,https://api.openalex.org/works?filter=author.id:A5055236010,7,75,213,NL
A5014662127,Alain Barrat,https://api.openalex.org/works?filter=author.id:A5014662127,65,325,22473,FR
A5032323046,Alba Motes‐Rodrigo,https://api.openalex.org/works?filter=author.id:A5032323046,8,37,228,CH
A5025323154,Albert László Barabási,https://api.openalex.org/works?filter=author.id:A5025323154,78,171,92512,US
A5048792754,Alberto Amaduzzi,https://api.openalex.org/works?filter=author.id:A5048792754,1,1,2,IT
A5066444267,Alejandro Ortega‐Beltran,https://api.openalex.org/works?filter=author.id:A5066444267,19,76,1206,NG
A5041940377,Alejandro Dinkelberg,https://api.openalex.org/works?filter=author.id:A5041940377,3,9,22,IE
A5026969792,Aleksandra Urman,https://api.openalex.org/works?filter=author.id:A5026969792,9,77,396,CH
A5033447925,Alessandra Urbinati,https://api.openalex.org/works?filter=author.id:A5033447925,2,2,31,US
A5001710037,Alessandro De Gaetano,https://api.openalex.org/works?filter=author.id:A5001710037,1,5,5,IT
A5034213821,Alessandro Flamini,https://api.openalex.org/works?filter=author.id:A5034213821,4,39,117,IT
A5049802130,Alessandro Gambetti,https://api.openalex.org/works?filter=author.id:A5049802130,1,3,10,PT
A5025069859,Alessia Antelmi,https://api.openalex.org/works?filter=author.id:A5025069859,4,22,71,IT
A5061900944,Alessia Melegaro,https://api.openalex.org/works?filter=author.id:A5061900944,34,108,3930,IT
A5051112909,Alessio Cardillo,https://api.openalex.org/works?filter=author.id:A5051112909,16,47,2143,ES
A5007176508,Alex Pentland,https://api.openalex.org/works?filter=author.id:A5007176508,88,591,42957,US
A5004784121,Alex Teytelboym,https://api.openalex.org/works?filter=author.id:A5004784121,1,4,3,US
A5047198701,Alexander J. Gates,https://api.openalex.org/works?filter=author.id:A5047198701,12,36,945,US
A5056559023,Alexander Volfovsky,https://api.openalex.org/works?filter=author.id:A5056559023,9,95,1099,US
A5038217519,Alexandra Florea,https://api.openalex.org/works?filter=author.id:A5038217519,7,43,163,US
A5054478253,Alexandra Segerberg,https://api.openalex.org/works?filter=author.id:A5054478253,11,33,4564,SE
A5080030270,Alexandre G. Evsukoff,https://api.openalex.org/works?filter=author.id:A5080030270,17,109,1251,BR
A5010352723,Alexandros Gelastopoulos,https://api.openalex.org/works?filter=author.id:A5010352723,2,13,38,DK
A5047789012,Alfredo Hernández Sánchez,https://api.openalex.org/works?filter=author.id:A5047789012,7,155,230,ES
A5060724128,Ali Faqeeh,https://api.openalex.org/works?filter=author.id:A5060724128,7,10,179,US
A5084942634,Anan Salloum,https://api.openalex.org/works?filter=author.id:A5084942634,6,33,361,US
A5079753964,Ali Yassin,https://api.openalex.org/works?filter=author.id:A5079753964,13,69,1112,FR
A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,7,39,157,DE
A5086637756,A. Herasimenka,https://api.openalex.org/works?filter=author.id:A5086637756,3,10,13,GB
A5083809979,Alice Battiston,https://api.openalex.org/works?filter=author.id:A5083809979,1,6,3,IT
A5033341922,Alice Grishchenko,https://api.openalex.org/works?filter=author.id:A5033341922,3,11,59,US
A5031514121,Almog Simchon,https://api.openalex.org/works?filter=author.id:A5031514121,6,30,140,IL
A5088276589,Amin Mekacher,https://api.openalex.org/works?filter=author.id:A5088276589,3,11,66,GB
A5063277598,Amir Ebrahimi Fard,https://api.openalex.org/works?filter=author.id:A5063277598,4,18,82,NL
A5030987696,Amir Ghasemian,https://api.openalex.org/works?filter=author.id:A5030987696,4,18,242,US
A5003121162,Amir Goldberg,https://api.openalex.org/works?filter=author.id:A5003121162,14,72,1184,US
A5070972999,Amy Gimma,https://api.openalex.org/works?filter=author.id:A5070972999,29,89,14272,GB
A5016779163,Amy Selby,https://api.openalex.org/works?filter=author.id:A5016779163,1,1,3,US
A5010691256,Amy Smith,https://api.openalex.org/works?filter=author.id:A5010691256,11,42,5596,US
A5001589854,Ana Alonso-Curbelo,https://api.openalex.org/works?filter=author.id:A5001589854,1,2,1,GB
A5011326378,Ana Macanovic,https://api.openalex.org/works?filter=author.id:A5011326378,1,7,18,NL
A5012278873,Li Wang,https://api.openalex.org/works?filter=author.id:A5012278873,207,37892,471260,CN
A5053517626,A. Yu. Men’shikova,https://api.openalex.org/works?filter=author.id:A5053517626,10,59,385,RU
A5077871284,Anastassia Vybornova,https://api.openalex.org/works?filter=author.id:A5077871284,1,4,3,AT
A5068182184,Andrea Baronchelli,https://api.openalex.org/works?filter=author.id:A5068182184,40,242,5705,GB
A5090500627,Andrea Failla,https://api.openalex.org/works?filter=author.id:A5090500627,6,30,107,IT
A5085767098,Andrea Gentili,https://api.openalex.org/works?filter=author.id:A5085767098,12,119,451,IT
A5066187890,Andrea Passerini,https://api.openalex.org/works?filter=author.id:A5066187890,24,216,2577,IT
A5021211836,Andrea Tagarelli,https://api.openalex.org/works?filter=author.id:A5021211836,21,216,1535,IT
A5012278873,Li Wang,https://api.openalex.org/works?filter=author.id:A5012278873,207,37892,471260,CN
A5058732791,Andreas Bjerre-Nielsen,https://api.openalex.org/works?filter=author.id:A5058732791,6,29,220,DK
A5053529497,Andreas Kaltenbrunner,https://api.openalex.org/works?filter=author.id:A5053529497,23,102,1884,ES
A5009420670,Andréia Teixeira,https://api.openalex.org/works?filter=author.id:A5009420670,19,131,1354,PT
A5050554579,Andrés F. Castro Torres,https://api.openalex.org/works?filter=author.id:A5050554579,6,55,125,ES
A5003185083,Andrew Beers,https://api.openalex.org/works?filter=author.id:A5003185083,17,75,1706,US
A5080472003,Andrew Lippman,https://api.openalex.org/works?filter=author.id:A5080472003,29,156,6325,US
A5012236452,Andrew Renninger,https://api.openalex.org/works?filter=author.id:A5012236452,2,11,14,US
A5060124526,Andrés Gvirtz,https://api.openalex.org/works?filter=author.id:A5060124526,3,9,84,GB
A5015051311,Anne Berres,https://api.openalex.org/works?filter=author.id:A5015051311,6,71,181,US
A5010052470,A. Skumanich,https://api.openalex.org/works?filter=author.id:A5010052470,4,27,47,US
A5070868747,Ane Rahbek Vierø,https://api.openalex.org/works?filter=author.id:A5070868747,0,5,0,DK
A5046389297,Miguel Sánchez,https://api.openalex.org/works?filter=author.id:A5046389297,24,255,15067,AR
A5064591138,Angelita Repetto,https://api.openalex.org/works?filter=author.id:A5064591138,1,4,1,US
A5066979752,Ângelo Brayner,https://api.openalex.org/works?filter=author.id:A5066979752,11,144,431,BR
A5003539468,Angelos P. Kassianos,https://api.openalex.org/works?filter=author.id:A5003539468,21,71,1659,CY
A5054630728,Anikó Hannák,https://api.openalex.org/works?filter=author.id:A5054630728,12,47,1253,CH
A5025245627,Anjali Saxena,https://api.openalex.org/works?filter=author.id:A5025245627,13,72,748,IN
A5079255958,Anna Di Natale,https://api.openalex.org/works?filter=author.id:A5079255958,6,18,217,AT
A5056216760,Anna George,https://api.openalex.org/works?filter=author.id:A5056216760,29,149,2631,US
A5023767790,Anna Laura Mancini,https://api.openalex.org/works?filter=author.id:A5023767790,5,48,250,IT
A5039256697,Anna Rogers,https://api.openalex.org/works?filter=author.id:A5039256697,15,39,1495,DK
A5091783761,Anna Sapienza,https://api.openalex.org/works?filter=author.id:A5091783761,11,39,320,DK
A5061454360,Anna Sára Ligeti,https://api.openalex.org/works?filter=author.id:A5061454360,1,8,12,HU
A5061225686,Aнна Соколова,https://api.openalex.org/works?filter=author.id:A5061225686,23,195,4413,AU
A5063995659,Annapaola Marconi,https://api.openalex.org/works?filter=author.id:A5063995659,18,121,1103,IT
A5018717377,Anne C. Kroon,https://api.openalex.org/works?filter=author.id:A5018717377,8,30,236,NL
A5053148541,Antonin Pottier,https://api.openalex.org/works?filter=author.id:A5053148541,9,111,294,US
A5006126497,Antonio Ariño Villarroya,https://api.openalex.org/works?filter=author.id:A5006126497,6,141,176,ES
A5033797206,Antonio Bucchiarone,https://api.openalex.org/works?filter=author.id:A5033797206,21,184,1413,IT
A5045033500,Antonio Desiderio,https://api.openalex.org/works?filter=author.id:A5045033500,2,10,42,IT
A5051621664,Antonio Rojas‐Garcia,https://api.openalex.org/works?filter=author.id:A5051621664,16,45,1030,GB
A5084285249,Antti Gronow,https://api.openalex.org/works?filter=author.id:A5084285249,11,54,351,FI
A5089890523,Anubhab Das,https://api.openalex.org/works?filter=author.id:A5089890523,3,7,47,IN
A5091669275,Anya Hommadova Lu,https://api.openalex.org/works?filter=author.id:A5091669275,4,11,50,US
A5033485181,Ardon Z. Shorr,https://api.openalex.org/works?filter=author.id:A5033485181,2,5,42,US
A5077230992,Alessandra Pera,https://api.openalex.org/works?filter=author.id:A5077230992,2,38,19,DK
A5058670333,Armando Bazzani,https://api.openalex.org/works?filter=author.id:A5058670333,16,202,2402,IT
A5080502439,Armin Pournaki,https://api.openalex.org/works?filter=author.id:A5080502439,2,13,27,FR
A5005519980,Arnault Chatelain,https://api.openalex.org/works?filter=author.id:A5005519980,1,3,7,FR
A5081982677,Arnout van de Rijt,https://api.openalex.org/works?filter=author.id:A5081982677,19,99,1632,IT
A5025112887,Artem Kuriksha,https://api.openalex.org/works?filter=author.id:A5025112887,0,5,3,US
A5047707045,Artëm Volgin,https://api.openalex.org/works?filter=author.id:A5047707045,2,14,9,GB
A5019114043,A. N. Thakur,https://api.openalex.org/works?filter=author.id:A5019114043,4,8,419,US
A5044956842,Arttu Malkamäki,https://api.openalex.org/works?filter=author.id:A5044956842,6,21,217,FI
A5000213324,Arun Frey,https://api.openalex.org/works?filter=author.id:A5000213324,5,13,792,GB
